Time (sec);Toe;MTP;Heel;Ankle;knee;Hip
0;-0,297865163;-0,224798148;-0,05729709;-0,092389985;-0,148687402;-0,175201518
0,016;-0,297852865;-0,224798959;-0,057260779;-0,092360219;-0,148644314;-0,175244943
0,033;-0,297840307;-0,224799346;-0,057224084;-0,092330529;-0,148601733;-0,175288261
0,05;-0,297827466;-0,224798984;-0,057187264;-0,09230143;-0,148558931;-0,175331696
0,066;-0,297814483;-0,224798251;-0,057150536;-0,092273689;-0,14851444;-0,175375044
0,083;-0,297801564;-0,224797821;-0,05711406;-0,092247848;-0,148467696;-0,175417879
0,1;-0,297788918;-0,224798147;-0,057077924;-0,092223085;-0,148419699;-0,175459824
0,116;-0,2977766;-0,224799335;-0,057042145;-0,092197655;-0,148372332;-0,175500884
0,133;-0,297764456;-0,224801214;-0,057006691;-0,092170802;-0,148326844;-0,175541644
0,15;-0,297752364;-0,224803421;-0,056971533;-0,092143093;-0,148283054;-0,175583089
0,167;-0,297740433;-0,224805531;-0,056936684;-0,09211516;-0,148240199;-0,175626174
0,183;-0,297728823;-0,224807227;-0,056902192;-0,092087103;-0,148198054;-0,175671469
0,2;-0,29771735;-0,224808443;-0,056868088;-0,092058744;-0,148156913;-0,175718921
0,217;-0,29770533;-0,224809361;-0,056834356;-0,092029891;-0,148116965;-0,175767726
0,233;-0,297691999;-0,224810185;-0,056800913;-0,092000491;-0,14807852;-0,175816448
0,25;-0,297677217;-0,224810918;-0,056767576;-0,091970871;-0,148043197;-0,17586364
0,267;-0,297661596;-0,22481135;-0,056733994;-0,091942111;-0,148013411;-0,175909362
0,283;-0,29764587;-0,224811256;-0,056699512;-0,091915733;-0,147986865;-0,175957996
0,3;-0,297630502;-0,22481063;-0,056663019;-0,091892268;-0,147947935;-0,176021946
0,317;-0,2976159;-0,224809643;-0,056622837;-0,091870726;-0,147875019;-0,176123596
0,333;-0,297602023;-0,224808155;-0,056576758;-0,091850487;-0,147798438;-0,176289528
0,35;-0,297586418;-0,224805252;-0,056522402;-0,091833396;-0,147892413;-0,176528242
0,367;-0,297561607;-0,224799343;-0,056458073;-0,091823645;-0,148391644;-0,176784599
0,383;-0,29751531;-0,22478886;-0,056384233;-0,091825995;-0,149349395;-0,17693676
0,4;-0,297439817;-0,22477315;-0,056305472;-0,091843823;-0,15068196;-0,176916542
0,417;-0,297355976;-0,224752694;-0,056232637;-0,091877793;-0,152265813;-0,176794544
0,433;-0,297342708;-0,224728146;-0,05618436;-0,091925283;-0,153818827;-0,176664341
0,45;-0,297532273;-0,224699298;-0,056186608;-0,091980774;-0,15511997;-0,17650874
0,467;-0,297999399;-0,22466535;-0,056268098;-0,092037785;-0,156248357;-0,176214302
0,483;-0,29860801;-0,224626054;-0,056448842;-0,09209157;-0,157309346;-0,175669431
0,5;-0,299080254;-0,224582293;-0,056719103;-0,092140384;-0,158201114;-0,174850761
0,517;-0,299249535;-0,224535537;-0,057023097;-0,092184648;-0,158850701;-0,173811457
0,534;-0,299116252;-0,224486874;-0,057280378;-0,092225121;-0,159481861;-0,172592037
0,55;-0,298708389;-0,224436439;-0,057434861;-0,0922601;-0,160364332;-0,171175098
