Time (ms);Toe;MTP;Heel;Ankle;Knee;Hip
10444;-0,904729335520844;-1,00620502067479;-1,11277878659289;-1,09625529931126;-1,02147374342963;-1,21158058609921
10460;-0,845706165629776;-0,946999277525811;-1,05558537893224;-1,04375670433304;-1,01074089644307;-1,19503128835568
10477;-0,790751653269022;-0,891268965081766;-1,00207380731606;-0,994449789596838;-0,999817359454383;-1,17835141264702
10494;-0,743012707757342;-0,842103917696606;-0,955278484044932;-0,951076961589657;-0,988252122168139;-1,16140558607454
10510;-0,704250072094176;-0,801840015292707;-0,917204616797357;-0,91549950493456;-0,975396539085633;-1,14408803837088
10527;-0,674967658823638;-0,77163560138287;-0,888855902002509;-0,888486750195038;-0,960701914638218;-1,12642669238748
10544;-0,654816224214914;-0,751383933152243;-0,87024001042868;-0,869735044815756;-0,944040506764076;-1,10854869863753
10561;-0,64261814690732;-0,739825602991725;-0,860089747237507;-0,857885444612492;-0,925891420338625;-1,0905188858981
10577;-0,636068136142561;-0,734469920039339;-0,85581155664142;-0,850589741670985;-0,907198391267817;-1,07225934790087
10594;-0,632216679928767;-0,732158417385588;-0,854267947283057;-0,845242774398945;-0,888939816308295;-1,05363760120462
10611;-0,628930470309571;-0,730462760051413;-0,853124821326738;-0,840251700130549;-0,871656082739762;-1,03462633587448
10627;-0,625752374299632;-0,728462341499701;-0,851638591913199;-0,835500879100159;-0,855279136094215;-1,01535234086563
10644;-0,623155463011133;-0,726367795146632;-0,850252484509726;-0,831610774387103;-0,83948343025299;-0,996037208521791
10661;-0,62142094273162;-0,724759805964264;-0,849602678832264;-0,828991528402741;-0,82423429412593;-0,976970570304666
10677;-0,62051607795944;-0,72395434666888;-0,84982511816757;-0,827470382396449;-0,809987062638348;-0,958471786887562
10694;-0,620293581611507;-0,723777648618041;-0,850489110331655;-0,826568455529753;-0,797374402565631;-0,940771956833679
10711;-0,620288534495079;-0,723844930594406;-0,851034760899247;-0,825879790060011;-0,786741858327904;-0,923974754069466
10727;-0,619918867434727;-0,72390431634021;-0,851275960893155;-0,82516883396961;-0,778040133395103;-0,908156356705606
10744;-0,619075875527759;-0,723893482878075;-0,851475007828099;-0,824453113823442;-0,770967098329917;-0,893373990634992
10761;-0,618150265170374;-0,723836413462822;-0,851992244650801;-0,823955356970498;-0,764998766285246;-0,879531210493577
10777;-0,617561848178798;-0,723764280600997;-0,852928737394367;-0,823782838152663;-0,75952434470787;-0,866325374207649
10794;-0,617402754878579;-0,723691243050612;-0,854081394016766;-0,823821455999589;-0,754191916712247;-0,853458557591714
10811;-0,617484699993462;-0,723618476387479;-0,855124094852063;-0,823919834860849;-0,748992599006419;-0,841017418814566
10827;-0,617611504117098;-0,723543224022196;-0,855801163772933;-0,823982315310754;-0,743987765506353;-0,829539982939449
10844;-0,617703868249489;-0,723464576340813;-0,856074122096919;-0,823914940055452;-0,739139233208151;-0,819466506173627
10861;-0,617756287202976;-0,723384295724788;-0,856094324825534;-0,82358548748517;-0,734367577535411;-0,810296579846432
10878;-0,617781581043742;-0,72330421055571;-0,856025130813814;-0,822937013602328;-0,729617338948916;-0,800181688199913
10894;-0,617788650109065;-0,723224715780203;-0,855946681274081;-0,822167544166414;-0,724862897754892;-0,786857655783522
10911;-0,617779882359154;-0,723147485762488;-0,855875219367131;-0,821598743970629;-0,720101283655901;-0,769822561615636
10928;-0,617754847402616;-0,723079537660342;-0,855803899577718;-0,821293326194108;-0,715346261022653;-0,751521242549903
10944;-0,617719596761276;-0,723030125113978;-0,855725653734019;-0,820989464550732;-0,710620346027342;-0,735577333052944
10961;-0,617689311158006;-0,722988005891866;-0,855629464264395;-0,820452807034985;-0,705941410015605;-0,723767712699378
10978;-0,617661588193366;-0,722877433782565;-0,855481947668083;-0,819778299421588;-0,701296675267075;-0,715006329323707
10994;-0,617564071856336;-0,722541633207598;-0,855213504037683;-0,819222305271413;-0,696596008986818;-0,706801115411435
11011;-0,617238819851765;-0,721884321796198;-0,854735753662609;-0,818777486604387;-0,691627164302253;-0,697170875697612
11028;-0,616590933476965;-0,721096106648002;-0,854046369758678;-0,81816870101747;-0,686097427138325;-0,685453851560284
11044;-0,615814704259136;-0,720542497787488;-0,853347310468168;-0,817238776832035;-0,679787603347536;-0,671977039860698
11061;-0,61527628534238;-0,720368128569763;-0,852915166270023;-0,81606786621341;-0,672636011097741;-0,657387125987697
11078;-0,615119309929955;-0,720428062189782;-0,852806725171725;-0,814766201481169;-0,664667510461821;-0,642247987178335
11094;-0,615200667974396;-0,720546844154291;-0,852810914532773;-0,813345484793549;-0,655963805745234;-0,626961821923517
11111;-0,61534357021584;-0,720653786114539;-0,852634707641184;-0,811813265202574;-0,646667415519366;-0,611737067793743
11128;-0,615451583098286;-0,720731125706101;-0,852083708982578;-0,8102510129308;-0,636843728537117;-0,59654053950522
11144;-0,615434861896561;-0,720720401127537;-0,851173293197489;-0,808645173527189;-0,626373856167051;-0,581217279105886
11161;-0,615146274685218;-0,720478836904931;-0,850065228315725;-0,806832143663825;-0,615088367988726;-0,565627825655066
11178;-0,614504124009288;-0,719900942443803;-0,848874080062228;-0,804753987686012;-0,602942709342474;-0,549661364259159
11195;-0,613716925116581;-0,719112657111208;-0,847574106506753;-0,802502732941437;-0,589952518243467;-0,533244007069623
11211;-0,613168140099166;-0,718334285932466;-0,846078989448462;-0,800041087177158;-0,575960490666162;-0,516289534188035
11228;-0,613002847550105;-0,717568117439502;-0,844327460275688;-0,79703761972911;-0,560562206320592;-0,498637881775757
11245;-0,613016653753857;-0,716659807724863;-0,842121508551797;-0,792940742251937;-0,543231067232783;-0,480170565051902
11261;-0,612876834677264;-0,715432778270891;-0,838866525424976;-0,787093580389764;-0,523425674618734;-0,460971801835817
11278;-0,612345841960446;-0,713576813230279;-0,833681645639458;-0,77877663228615;-0,500676151103064;-0,441301208217722
11295;-0,611407191558244;-0,710646306072801;-0,825763728945885;-0,767237822276268;-0,474689425352571;-0,42140643109903
11311;-0,610158218654785;-0,706211776508421;-0,81446435411527;-0,751859558641664;-0,445469261487549;-0,401425606629808
11328;-0,60861210314854;-0,699864696467823;-0,799152934485173;-0,732380907488667;-0,413409932342894;-0,38150091080711
11345;-0,60661498787028;-0,691052911530057;-0,77921938723035;-0,708872949239284;-0,379197191489843;-0,361822930599111
11361;-0,603438707638066;-0,678987450436831;-0,754290239092024;-0,681616807696315;-0,343583810531784;-0,34247676143182
11378;-0,596902882705182;-0,662575974845105;-0,724673015096836;-0,651235806160504;-0,307294216690752;-0,323375730361072
11395;-0,583328831687106;-0,64048866589864;-0,691442846199622;-0,618788975171215;-0,270985071532658;-0,304332180546068
11411;-0,559613025646698;-0,611845632589114;-0,655615611835906;-0,58532326440234;-0,23506811944038;-0,28507900155096
11428;-0,525776598084237;-0,577028727683522;-0,617702175076632;-0,551199900838671;-0,19964629075421;-0,265394097870649
11445;-0,484696626285885;-0,537554492681736;-0,578533348969047;-0,516059401045136;-0,164834175809706;-0,245535047335183
11461;-0,439209337278683;-0,494965438683226;-0,539334842815917;-0,479511644342268;-0,131023383254779;-0,226397733188154
11478;-0,390234067091052;-0,449749464162863;-0,500529338260901;-0,441553505517403;-0,098562789103375;-0,208713165288145
11495;-0,337501127746349;-0,40143519822742;-0,461498644137149;-0,402215071222396;-0,0673726492302935;-0,192112374162797
11512;-0,280978052069953;-0,34968658953006;-0,421262947709763;-0,361269083705925;-0,0372979032290709;-0,175593067364621
11528;-0,221253432189976;-0,294963840857442;-0,37883966955751;-0,318511576957864;-0,00866269808446041;-0,15887948370372
11545;-0,159091856906937;-0,238156465287235;-0,333473298152038;-0,273982500096226;0,017875997345744;-0,142533671508332
11562;-0,0951726982123623;-0,179931863255565;-0,28479032696194;-0,227732615111534;0,0417789647312025;-0,126895186875256
11578;-0,0303504396287384;-0,12051295103351;-0,232817045792656;-0,179612681239801;0,0627820084706395;-0,111690064227187
11595;0,0343470882480176;-0,0599053247639813;-0,177977621800175;-0,129477853511428;0,0808989689956576;-0,0964391594527016
11612;0,098210741959653;0,00175085559197458;-0,120910551377793;-0,0774696117993457;0,0963728713657792;-0,0808687331219749
11628;0,160966938150029;0,0639839038983026;-0,0622227368384618;-0,0240318875912516;0,109584659239889;-0,0650113181818132
11645;0,222410261342094;0,126039187158692;-0,00257580655220485;0,0301445131834465;0,12099285856737;-0,0489532301445539
11662;0,28189848587581;0,186909381081904;0,0569675070752041;0,0840588114754836;0,13105735929315;-0,0326647390107451
11678;0,337902752842175;0,245129331449744;0,114743009574379;0,136217258976419;0,140279289324097;-0,0161432233409733
11695;0,388260223654147;0,298687711818839;0,16852113499258;0,184564699332936;0,149449008218969;0,000502196403078265
11712;0,431084487530806;0,345314430146118;0,215769715354819;0,226914389976611;0,159621932343181;0,0171509516891645
11728;0,465359862118367;0,383031398465577;0,25417327727761;0,261534743793533;0,171686822849896;0,0337585220822416
11745;0,490912170875602;0,410798756947365;0,282155119115235;0,287452033576156;0,186141762414491;0,0503823808247726
11762;0,508264009214887;0,428818700710253;0,299380929803433;0,304776062595474;0,203039170857514;0,0671975336362057
11778;0,518774637988285;0,438503103419894;0,30736568486329;0,314957940913127;0,221750089102137;0,0844781965634256
11795;0,524780970594289;0,442484647160126;0,309388787361506;0,320495987045067;0,241087666902452;0,102536139004424
11812;0,528910471924556;0,444089888134454;0,309102164234472;0,324114218095047;0,25999798902591;0,121642590997371
11828;0,532749980211467;0,445877071974104;0,308922783746088;0,327770096390206;0,278077200088011;0,141832842309441
11845;0,536413616232434;0,448530931757998;0,309503791411168;0,332103526801007;0,29548616278283;0,162693934247565
11862;0,53939866352995;0,451356174223589;0,310394847182564;0,336710214790604;0,31248168624465;0,183523503458137
11879;0,541476731898922;0,453612809343158;0,311129912159049;0,340820924932085;0,328963665450296;0,203760205473764
11895;0,542832018756879;0,455157113886237;0,311643287357664;0,343840454261147;0,344364140123224;0,223159833884801
11912;0,543699057897333;0,456140076321149;0,311968393596308;0,345583623883477;0,357997498653289;0,241645641426523
11929;0,54415154042501;0,456658348910755;0,312108311153514;0,346264985379258;0,369587675928295;0,259181475826471
11945;0,544267681661949;0,45682249329469;0,312129727061895;0,346336833675391;0,379365311693285;0,275746708651666
11962;0,544225478559754;0,456823831295106;0,312120801326893;0,346228100881159;0,387686491128196;0,291329551600962
11979;0,544172995988751;0,456806867512956;0,312125415588395;0,346157624330199;0,394841809394792;0,306073371407043
11995;0,544160078701666;0,456810070840603;0,312148093342878;0,346155762451019;0,401195529833688;0,320516460605633
12012;0,544180388934104;0,45681693917067;0,312175371803435;0,346177064750045;0,407155790404691;0,335488629024123
12029;0,544215105230852;0,45680816805301;0,31219309880733;0,346179486286343;0,412957057009508;0,35142404244756
12045;0,544249188557611;0,456781865418655;0,312195849090136;0,346150251292928;0,418591060067409;0,367682616666984
12062;0,544272995403502;0,456746916742213;0,312188654667476;0,346097937121188;0,423939853906869;0,382953256929379
12079;0,544297282169551;0,456711912474057;0,312182984218184;0,346054558072865;0,428952085006129;0,396505775294805
12095;0,544394981251668;0,456682453002762;0,312189916131913;0,346105837538614;0,43366843430594;0,408693883662265
12112;0,544721480274483;0,456661960867715;0,312213823280962;0,346398475798824;0,438135473266102;0,42034955505618
12129;0,545378770126097;0,45665094917573;0,312250071874138;0,347009672145299;0,442448928702838;0,432102686850571
12145;0,546191451746542;0,456647542260908;0,312288788894071;0,347751577535333;0,446874239211946;0,444165510667969
12162;0,54680640897909;0,456652632723915;0,312322080357725;0,348281665871726;0,451683625632731;0,45653021198311
